cutoff_frequency,mean_free_power
0.001,0.23592726670026917
0.0017433288221999873,0.23696645029121804
0.0030391953823131978,0.2387206527246477
0.005298316906283708,0.24162262931691691
0.009236708571873866,0.24625644178345224
0.01610262027560939,0.2534033944870366
0.02807216203941177,0.26377752947607996
0.04893900918477494,0.2776365318385755
0.0853167852417281,0.29372947587718834
0.14873521072935117,0.3087431274935109
0.2592943797404667,0.3186493696665284
0.45203536563602453,0.32173764250052683
0.7880462815669912,0.31824241396850206
1.3738237958832638,0.3093872013722072
2.395026619987486,0.2965795016788529
4.175318936560405,0.28249477513143156
7.278953843983154,0.2693153132427131
12.689610031679234,0.2582572733953081
22.122162910704503,0.25006222380791754
38.56620421163472,0.2444218858528644
67.23357536499334,0.24071280396797134
117.21022975334817,0.23832637240496482
204.33597178569437,0.23684974186566865
356.2247890262444,0.23589569650060746
621.0169418915616,0.23532048551597126
1082.636733874054,0.2349781153138539
1887.3918221350996,0.2347617799293782
3290.344562312671,0.2346315000429859
5736.152510448682,0.23455075605315104
10000.0,0.23449830303224564
