feedback_gain,mean_free_power,std_mean_free_power,mean_trap_power,std_mean_trap_power,mean_net_power,std_mean_net_power
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10256410256410256,0.2144072013412666,0.0032509380788781858,-0.026187505010551133,0.000417377602501654,0.24059470635181773,0.0032776214631604758
0.20512820512820512,0.21731437325829067,0.0032718982083215554,-0.01831998809884462,0.00028787825032139896,0.23563436135713528,0.0032845382891094317
0.3076923076923077,0.21864510591340108,0.0032814241153867356,-0.014654295174631043,0.00022870222757110495,0.23329940108803213,0.0032893842788487945
0.41025641025641024,0.21946733761124873,0.0032872527308089997,-0.012369833584904375,0.00019214081017974888,0.2318371711961531,0.0032928632840049338
0.5128205128205128,0.22005095603599692,0.0032914178597768795,-0.010738399167660553,0.0001663015818646679,0.23078935520365748,0.0032956164436701223
0.6153846153846154,0.22050034004508234,0.003294600796171113,-0.009473406514455735,0.00014651053848490533,0.2299737465595381,0.00329785684104366
0.717948717948718,0.22086562330742715,0.0032971506563672327,-0.008434921477600466,0.00013041391121155422,0.22930054478502762,0.0032997288129512047
0.8205128205128205,0.2211757315225621,0.0032993200656424976,-0.007544624224647956,0.0001166726220774629,0.22872035574721006,0.0033013823462746095
0.923076923076923,0.22145068525817876,0.0033011818092987424,-0.006751320123772378,0.00010444314193155745,0.22820200538195115,0.0033028335876851946
1.0256410256410255,0.22170359380958551,0.0033029154145941247,-0.0060231815918598665,9.324591974654456e-05,0.22772677540144537,0.0033042313837733667
1.1282051282051282,0.22194235698443207,0.0033046053050200114,-0.0053367538676107815,8.269441791762536e-05,0.22727911085204286,0.00330563981533396
1.2307692307692308,0.22216939769480368,0.0033063051104025368,-0.004677148359191852,7.255169928235647e-05,0.22684654605399554,0.0033071010314386657
1.3333333333333333,0.2223923440518731,0.0033078625637898693,-0.004034202357059209,6.266408682780762e-05,0.2264265464089323,0.003308456064193758
1.435897435897436,0.22261469170408435,0.0033094786564460965,-0.0034022277705973982,5.2944181052697594e-05,0.22601691947468175,0.00330990212299089
1.5384615384615383,0.22283655280415066,0.003311022506954394,-0.002776382712506501,4.3275685086494365e-05,0.22561293551665715,0.003311305305537118
1.641025641025641,0.2230550624666891,0.0033125134661019864,-0.0021551547193164834,3.36577501314285e-05,0.2252102171860056,0.0033126844563361154
1.7435897435897436,0.2232745084045011,0.003314136383471917,-0.0015370366690370656,2.4055138374305764e-05,0.22481154507353818,0.003314223682543851
1.846153846153846,0.22349217534572274,0.003315642898956272,-0.0009210410480903243,1.4447894550495252e-05,0.22441321639381306,0.0033156743771148717
1.9487179487179487,0.2237051462498909,0.003317043113728515,-0.0003065487093089748,4.8156541903334264e-06,0.22401169495919987,0.003317046609388997
2.051282051282051,0.22393122567275997,0.0033183639746297796,0.0003064929099190585,4.8159599660326006e-06,0.22362473276284092,0.00331836746934259
2.1538461538461537,0.22413568955195753,0.0033200597179623946,0.0009193070978372035,1.4416543323930792e-05,0.22321638245412034,0.003320091017962903
2.2564102564102564,0.22436163262008943,0.0033215662169616225,0.0015322232583062489,2.40279816154165e-05,0.2228294093617832,0.0033216531242080734
2.358974358974359,0.22458478110106964,0.0033222638147004852,0.00214637511371099,3.3648671479086845e-05,0.22243840598735864,0.00332243421117116
2.4615384615384617,0.22477962747802235,0.0033244947815382593,0.002761640870184473,4.3460445710007646e-05,0.2220179866078379,0.0033247788441964723
2.564102564102564,0.22497493050873593,0.003325518162921497,0.00337058900239617,5.297649359946736e-05,0.22160434150633976,0.0033259401018050313
2.6666666666666665,0.2251753437811747,0.0033265938474945503,0.003983786265950411,6.28291408572868e-05,0.2211915575152243,0.0033271871193441254
2.769230769230769,0.22541541854842206,0.003328717568533153,0.004600438171568431,7.182445148239252e-05,0.22081498037685363,0.0033294923641438213
2.871794871794872,0.22560158518167459,0.003330017767991177,0.005209637307780305,8.15698029920526e-05,0.22039194787389427,0.00333101665680271
2.9743589743589745,0.22581496476915305,0.0033330892034723883,0.005826007791773817,9.159807445597585e-05,0.21998895697737925,0.0033343475891916613
3.0769230769230766,0.22601280082199246,0.0033346327144942256,0.006440641369872329,0.00010167098337831127,0.21957215945212014,0.0033361822985916462
3.1794871794871793,0.22622693743984956,0.0033327050966977245,0.007071258023843874,0.00011063339505715689,0.2191556794160057,0.0033345408993828317
3.282051282051282,0.22120605118648512,0.0031621860193404715,0.0075574865888955785,0.00011421829772377456,0.21364856459758955,0.0031642481319339123
3.3846153846153846,0.22137985329862322,0.003165282747459242,0.008172964522999074,0.00012435742913739873,0.21320688877562416,0.003167724678936727
3.4871794871794872,0.22160134030250225,0.0031691825273836333,0.008773884062085796,0.00013309713874084503,0.21282745624041646,0.0031719761569429733
3.5897435897435894,0.22179692877471952,0.003166330366547028,0.009380636774116503,0.0001419062297755834,0.21241629200060302,0.003169508695076724
3.692307692307692,0.22202679052828805,0.003168727069041143,0.009966004081512263,0.0001519766178535656,0.21206078644677578,0.0031723694820194387
3.7948717948717947,0.2222457834498017,0.003169332957854422,0.010533496148339089,0.00016030789603646727,0.2117122873014626,0.0031733846314737674
3.8974358974358974,0.22245517141733626,0.003173544710053263,0.011164538685892716,0.00016864834583532574,0.21129063273144355,0.003178022701501681
4.0,0.22260110404301817,0.003172285641820285,0.011804318708636465,0.00017891338571569986,0.2107967853343817,0.0031773268942441838
