correlation_time,mean_free_power,std_mean_free_power,mean_trap_power,std_mean_trap_power,mean_net_power,std_mean_net_power
9.999999999999999e-05,0.5033332067369585,0.006311447695481131,0.011667165273140994,0.00016263433823363784,0.4916660414638175,0.006313542740867981
0.0001603718743751331,0.5026380808893052,0.0063079973158472104,0.01131882518259458,0.00015916496147383788,0.4913192557067106,0.00631000504133686
0.00025719138090593444,0.5011207551861541,0.006301339287987129,0.010646697769052513,0.00015048607997527564,0.49047405741710154,0.006303135956220242
0.0004124626382901352,0.49917432083564534,0.006291493970188051,0.009932415798192961,0.00014060664671694664,0.48924190503745235,0.006293064961210363
0.0006614740641230145,0.4968035776691624,0.006279770244851519,0.00925014408869026,0.00013144698228904954,0.48755343358047215,0.006281145806083107
0.001060818355139448,0.49391168350115505,0.006267345586492424,0.008662719198078905,0.0001233769397225198,0.4852489643030761,0.006268559848145454
0.0017012542798525892,0.4905400253913175,0.006250480120442091,0.008139867536624212,0.00011562100490363981,0.4824001578546933,0.006251549404173073
0.002728333376486769,0.48636182763968294,0.0062260842278829215,0.00770604200671751,0.00010991119501418844,0.47865578563296546,0.006227054302275027
0.004375479375074184,0.4812326995080233,0.006196390226397799,0.007343708288018586,0.00010507494723936734,0.47388899122000466,0.006197281063687165
0.007017038286703822,0.47500251346065103,0.006165328347384789,0.007053248267490179,0.00010086572848712364,0.4679492651931609,0.0061661533816675124
0.011253355826007646,0.46725588386016537,0.006129378761749805,0.0067798503271864355,9.791791152270811e-05,0.46047603353297895,0.006130160839846418
0.0180472176682717,0.4578519982702833,0.006091639238026827,0.006523935962491294,9.473115475988614e-05,0.451328062307792,0.006092375776160741
0.028942661247167517,0.446347120654631,0.006048503866671115,0.006254532672605481,9.223218267177215e-05,0.4400925879820255,0.006049207038997411
0.046415888336127774,0.4326039077144417,0.005994773647797198,0.006008566384706441,9.021914488182e-05,0.42659534132973526,0.005995452491883072
0.07443803013251689,0.4166941428024322,0.005926934649318281,0.0057533976908826865,8.838659547208527e-05,0.41094074511154954,0.005927593654051259
0.11937766417144358,0.39838063575419275,0.005839887041797479,0.005456526209688018,8.649886734060591e-05,0.39292410954450474,0.005840527605876486
0.19144819761699575,0.37772765650123086,0.00575736670024746,0.005151673168909491,8.465321916988209e-05,0.3725759833323214,0.005757989014285643
0.30702906297578497,0.3549274918301829,0.005668954115828533,0.004818630185529653,8.299748165517828e-05,0.35010886164465327,0.005669561654072594
0.4923882631706737,0.33038314898714155,0.005565993423959432,0.004464138667780057,8.080915020903917e-05,0.3259190103193615,0.00556658000160935
0.7896522868499725,0.30560655720570784,0.0054367688977359436,0.004106471331570795,7.80742490546678e-05,0.30150008587413707,0.00543732945808458
1.266380173467402,0.2828093506981003,0.005249008835368043,0.0037940839083893943,7.509700008895904e-05,0.27901526678971095,0.0052495460101988
2.030917620904735,0.26342510662337587,0.005003913179819847,0.003530207676010007,7.158736985648596e-05,0.25989489894736584,0.005004425228005484
3.2570206556597827,0.24804984879632433,0.004669779090945511,0.0033219967729118806,6.699322903195189e-05,0.24472785202341246,0.004670259612801842
5.2233450742668435,0.2364301876800966,0.00424848416348336,0.0031656312016607835,6.133602479406015e-05,0.23326455647843583,0.004248926899266031
8.376776400682923,0.22848286954427002,0.0038348396842833323,0.0030636814210880086,5.6034500003662225e-05,0.225419188123182,0.003835249049194191
13.433993325988988,0.22348749961676717,0.003515320234131624,0.003000015606242819,5.2121064084441764e-05,0.22048748401052434,0.003515706608040055
21.54434690031882,0.2207010785362904,0.0033134598233012726,0.0029608356426922217,4.93508527286849e-05,0.21774024289359817,0.0033138273200782127
34.55107294592218,0.21932388469506883,0.0032056091971383585,0.0029386794154211263,4.7604242525572874e-05,0.21638520527964772,0.0032059626461773483
55.41020330009491,0.21864058694644603,0.003149924344843762,0.0029261680774048345,4.702972805894668e-05,0.2157144188690412,0.0031502754123347216
88.86238162743408,0.21839113715738875,0.0031252081797657613,0.0029234923651118754,4.6371413194503766e-05,0.21546764479227687,0.003125552187188126
142.51026703029964,0.21825428770880417,0.003112756258368303,0.0029178397711084585,4.6121160653930705e-05,0.2153364479376957,0.003113097924169926
228.54638641349882,0.21814796816627607,0.003106405409220446,0.002911801487064353,4.566892893239136e-05,0.21523616667921172,0.0031067410927697013
366.52412370796264,0.2181335327520285,0.003103126941874328,0.00291780783209457,4.6059861137887934e-05,0.2152157249199339,0.003103468757405874
587.8016072274911,0.21810995633345148,0.00310213949249064,0.0029178752921405044,4.5826919160751565e-05,0.215192081041311,0.003102477967269043
942.6684551178854,0.21809431044868066,0.0031007576285179846,0.002913849105887194,4.566160416161873e-05,0.21518046134279348,0.0031010938155604205
1511.77507061566,0.21808402689658693,0.0031005851468836935,0.002915762963925636,4.584583520506583e-05,0.2151682639326613,0.0031009240709313447
2424.4620170823255,0.21810434119877475,0.0031009850003229492,0.0029128394637455628,4.5752584982982903e-05,0.21519150173502918,0.0031013225035878725
3888.155180308085,0.2180810386728595,0.0030990867860292495,0.0029163135952581247,4.5654364433050896e-05,0.21516472507760137,0.003099423047654658
6235.507341273912,0.21808887305288208,0.003100232179251202,0.0029136102458500322,4.559510473626449e-05,0.21517526280703203,0.0031005674446527636
10000.0,0.21809679726788794,0.0030997712045137036,0.0029142584148207015,4.563011465645277e-05,0.21518253885306723,0.003100107034877328
