cutoff_frequency,mean_free_power,std_mean_free_power
0.001,0.2139869622377201,0.003249751612144906
0.0017433288221999873,0.2140162144100871,0.0032499612201428297
0.0030391953823131978,0.21406500095853334,0.003250452579955348
0.005298316906283707,0.21415530226376756,0.0032522007111000046
0.009236708571873864,0.21433658706415032,0.003258527588036922
0.01610262027560939,0.21474179824182146,0.0032775600406218914
0.02807216203941177,0.21568288860482773,0.003331690083454161
0.04893900918477494,0.2177532802348211,0.0034682059485352883
0.08531678524172809,0.2221234437496364,0.003765387802169847
0.14873521072935117,0.23053019321732432,0.004260045220037169
0.2592943797404667,0.24432630000908492,0.004857709104549708
0.45203536563602453,0.2640643841065805,0.00536229971243465
0.7880462815669912,0.2888451262004189,0.005682008951213989
1.3738237958832638,0.31674886729067064,0.005864681655451381
2.395026619987486,0.3459569310514861,0.005983698049607669
4.175318936560404,0.37435429481442767,0.006091326833118206
7.278953843983153,0.40028127259561114,0.006193359612583818
12.689610031679234,0.42262061244130517,0.00629602860650157
22.1221629107045,0.4414438315768597,0.006385599510947634
38.56620421163472,0.45679938721210134,0.00646674448906308
67.23357536499334,0.46925935716966827,0.006525710298734499
117.21022975334817,0.4790951438821661,0.006574014716344576
204.33597178569437,0.48688479679529767,0.006612206838239379
356.22478902624437,0.49303745498636764,0.006645065875208996
621.0169418915616,0.4977671407996073,0.006671680940413787
1082.636733874054,0.5014822893477,0.0066924343617789156
1887.3918221350996,0.5044400375379517,0.006708240028303348
3290.344562312671,0.5068194346562125,0.006720364364977601
5736.152510448681,0.5086155021463022,0.006732281967115005
10000.0,0.5094646260590462,0.006737835372996696
