correlation_time,mean_free_power,std_mean_free_power
0.0001,0.21871286076183663,0.003372391671141013
0.0001603718743751331,0.21934336280471076,0.0033751245557453184
0.00025719138090593444,0.2204299418552244,0.0033835151243232085
0.0004124626382901352,0.22228101884380289,0.003398924245960115
0.0006614740641230146,0.22525876312871812,0.003427225948935525
0.0010608183551394483,0.2300000732910184,0.0034790635765060713
0.0017012542798525892,0.23748902233373054,0.0035628467904974333
0.0027283333764867696,0.24921323512559293,0.0036990318880711732
0.004375479375074184,0.2668873089755331,0.003909447799686903
0.007017038286703823,0.29248498590602434,0.004236142302429453
0.011253355826007646,0.32835613913879297,0.004728018807932311
0.018047217668271703,0.3768189544975603,0.005421490978715571
0.028942661247167517,0.4391254279406617,0.006375476891075269
0.046415888336127774,0.5159004594571525,0.007638208264025329
0.07443803013251689,0.6065287426538519,0.009282153056036227
0.11937766417144358,0.708680843743178,0.011362927152963742
0.19144819761699575,0.8186764395081686,0.01395083494958039
0.30702906297578497,0.9312865969319127,0.01716133548542319
0.49238826317067363,1.0392344830043894,0.02109902414372921
0.7896522868499725,1.1355789235845783,0.025824303496541662
1.2663801734674023,1.2093224665296802,0.031152760081666262
2.030917620904735,1.2525623418528575,0.03653015821623803
3.257020655659783,1.257726353225874,0.04070658866921878
5.2233450742668435,1.2154123980078761,0.04242554580713099
8.376776400682925,1.1244805558673365,0.04117434369861674
13.433993325988988,0.9984527919979286,0.037545918817505367
21.54434690031882,0.8584617364166545,0.03261308244304347
34.55107294592218,0.7230332066251348,0.0273733609584177
55.41020330009492,0.6031227987550366,0.022467545485653898
88.86238162743408,0.5032754772271048,0.018194059681205688
142.51026703029964,0.42383047099306914,0.014646108179999359
228.54638641349885,0.3627147509817553,0.011791479449468055
366.5241237079626,0.3235153713898271,0.009613635962787059
587.8016072274912,0.28928969491069645,0.007846560487114348
942.6684551178854,0.26515114335370016,0.006493642707639772
1511.77507061566,0.2485863191924451,0.005481525956877792
2424.462017082326,0.23733294534931373,0.00474031924764173
3888.155180308085,0.22991792800482402,0.004208112313664444
6235.507341273912,0.22502366552936684,0.0038371533584852916
10000.0,0.22184692778809142,0.00358634537638743
