noise_strength,mean_free_power,std_mean_free_power
0.09999999999999999,0.2246406204961202,0.003293509366213633
0.12663801734674032,0.22468153882149045,0.0032947805849100962
0.160371874375133,0.2247357594633874,0.003296030850700611
0.20309176209047358,0.22480365864041774,0.0032976495395511778
0.2571913809059345,0.22489060458899435,0.0032995954698707146
0.3257020655659783,0.22499051206573492,0.003302095589649837
0.4124626382901352,0.22512436540783662,0.0033049220331895627
0.5223345074266842,0.22527916515935234,0.0033083432270905985
0.6614740641230149,0.2254647237911567,0.003312174219714229
0.8376776400682918,0.22569842645640173,0.0033171151323896095
1.060818355139448,0.22600387926508458,0.0033228049106605916
1.3433993325989,0.22637470315147754,0.003329284425318112
1.7012542798525891,0.22682651883095542,0.003337956724053783
2.1544346900318834,0.22740111261520302,0.00334795502998405
2.728333376486768,0.22810995730295627,0.0033600705698770385
3.455107294592218,0.22898979758625676,0.003375101258177711
4.3754793750741845,0.23009501079980726,0.0033929060382297408
5.541020330009491,0.23146103196141132,0.003414376908884227
7.0170382867038255,0.2331685600542063,0.003441129453793159
8.886238162743403,0.23531163138049033,0.0034753336369814044
11.253355826007645,0.23796423254760157,0.003516216085730789
14.251026703029977,0.2412840453112741,0.0035667721964934007
18.047217668271703,0.24540166346335207,0.0036273253428157196
22.854638641349908,0.25052475385998507,0.0037026236290667687
28.942661247167518,0.25684484193293217,0.003794955338862651
36.652412370796256,0.2645885233389165,0.003906699723110695
46.41588833612778,0.2741934501986055,0.004045342555245573
58.780160722749116,0.28601744248192895,0.004210296380054329
74.43803013251689,0.30041181274387707,0.00441030088976916
94.26684551178855,0.31782649203286306,0.00464614597417625
119.37766417144357,0.3387901870227184,0.004928447454557924
151.17750706156613,0.3638438880636128,0.005267192930948158
191.44819761699577,0.39362498264552676,0.005668849732218839
242.44620170823282,0.42876803816549625,0.0061436376883535326
307.029062975785,0.46989317319935975,0.006700498762112803
388.81551803080856,0.5178076474566822,0.007345841737898976
492.38826317067367,0.573233561986348,0.008095034075706197
623.5507341273913,0.6372342294303955,0.008951737385604681
789.6522868499725,0.7107286250432917,0.00993277037776097
1000.0,0.7946727469626449,0.011057193110099242
