noise_strength,mean_free_power,std_mean_free_power
0.09999999999999999,0.2320393736132673,0.003339008633696669
0.12689610031679222,0.23539854528735626,0.003376051160476165
0.16102620275609392,0.23960954534211662,0.00342504205833973
0.20433597178569415,0.24487569351424662,0.0034882871912509856
0.2592943797404667,0.2514334579802597,0.003569562311807653
0.3290344562312668,0.25950592293762426,0.003675498128431714
0.41753189365604015,0.26950462363218847,0.0038078399835042138
0.5298316906283709,0.28177607241378555,0.003970889303898713
0.6723357536499336,0.2967408609304078,0.00417110681003281
0.8531678524172808,0.3148536411721363,0.004415018235373209
1.0826367338740546,0.33673296628743066,0.00470558428243193
1.3738237958832629,0.3629018785631252,0.005055605973474941
1.743328822199988,0.3938994916296584,0.005470596504077349
2.2122162910704493,0.43042490418312296,0.005965773146124949
2.8072162039411768,0.4731817148457934,0.00655385680857211
3.562247890262442,0.5229377419935005,0.007241492929719108
4.520353656360243,0.5806116356975546,0.008037662402940461
5.736152510448679,0.6470725503673272,0.008960148513213896
7.27895384398315,0.7235189912860375,0.010020743560097304
9.23670857187386,0.8112134247693086,0.011233914425568519
11.721022975334806,0.9113546355941339,0.012615939729316633
14.873521072935118,1.0254267116432378,0.014185520165542633
18.873918221350976,1.154973853062408,0.015966799674814156
23.95026619987486,1.302020959556787,0.01798557310230607
30.391953823131978,1.4686652759666372,0.020265809550636827
38.56620421163472,1.6571849773004215,0.022840967118164742
48.93900918477494,1.8703979948778489,0.025749105861049743
62.10169418915616,2.111235974799468,0.029034888679892304
78.80462815669912,2.3831375528327507,0.032743029178734735
100.0,2.690011236764992,0.03692452015358361
