correlation_time,mean_free_power,std_mean_free_power
9.999999999999999e-05,0.21766417451116232,0.0032907158501029724
0.00017433288221999874,0.21768149790714575,0.003290761068320289
0.0003039195382313198,0.21772189651780724,0.003290482814976895
0.0005298316906283707,0.21779306841200607,0.0032908236422171163
0.0009236708571873865,0.21792698833671362,0.0032918721296046932
0.001610262027560939,0.2181595286289456,0.0032941063469749065
0.002807216203941176,0.21856022683662682,0.0032982551005760388
0.004893900918477494,0.21929155133106684,0.003305586696706145
0.008531678524172814,0.22051060330986616,0.003319822549564521
0.014873521072935117,0.22252974825316824,0.0033446782688577666
0.02592943797404667,0.22580110955134497,0.003385523003271545
0.04520353656360245,0.23089995382951564,0.003457520444687838
0.07880462815669911,0.23834863342948784,0.0035840432674998615
0.1373823795883264,0.24852782219566558,0.0037942237661785184
0.23950266199874862,0.2611554579662296,0.0041274680996581424
0.41753189365604043,0.27486092086427494,0.004632284993332519
0.7278953843983154,0.2878115506152314,0.005333575807617138
1.2689610031679233,0.2985037935594649,0.006209548938167025
2.21221629107045,0.3047976981730362,0.007152300611936298
3.8566204211634725,0.3046798874252942,0.007847603214752023
6.723357536499335,0.2961629592738628,0.007964798657977157
11.721022975334819,0.2810468098238939,0.007480650914547609
20.433597178569435,0.2637243728044673,0.006654218745059532
35.622478902624444,0.248380277363755,0.005779960894131098
62.10169418915616,0.2367214491845846,0.005027471272648422
108.2636733874054,0.22885960675881586,0.0044513972701116095
188.73918221350996,0.2239124390614468,0.0040430737652079355
329.0344562312671,0.2210000114121051,0.0037664648623032984
573.6152510448682,0.219344548671292,0.0035872060448443326
1000.0,0.21843776703253287,0.0034747963686859134
